id,name,type,vid_res,language,home_away,call_sign
3262,Bally Sports FL+,TV,,en,away,BSFL+
3263,FSN-SAP,AM,,es,home,FSN-SAP
3282,CSBA HD,TV,,en,home,NBCSBA
3301,TSN2,TV,,en,away,TSN2
3321,KATD 990,AM,,es,home,KATD 990
3322,FS-D+ HD,TV,,en,away,FSD
3341,DodgersWIN,AM,,en,home,D...WIN
3381,KGST 1600,AM,,es,home,KGST1600
3402,100.7 The Wolf,FM,,en,home,100.7
3461,BOB FM,FM,,es,away,BOB FM
3481,DRN,AM,,en,away,DRN
3484,WIFN 1340 AM/103.7FM,AM,,en,home,WIFN
3485,WFOM 1230/106.3 FM,AM,,en,home,WFOM1230
3486,WCNN 680/93.7,AM,,en,home,WCNN
3487,Fox Sports 970,AM,,en,home,FS 970
3504,MLB.com,TV,,en,home,MLB.com
3505,FOX-2,TV,,en,home,FOX-2
3524,STO (live),TV,,en,away,STO
3544,MASN (live),TV,,en,home,MASN
3545,MLBN (delay),TV,,en,away,MLBN
3564,FSN (live),TV,,en,home,FSN(Live)
3624,DirecTV-678,TV,,en,away,DTV-678
3644,WQBU 92.7,FM,,es,home,WQBU92.7
3664,WKRC-TV,TV,,en,home,WKRC-TV
3684,FS-O HD,TV,,en,home,FSO
3724,Texas 21 HD,TV,,en,home,TXA-21HD
3744,Bay 9,TV,,es,home,Bay 9
3745,News 13,TV,,es,home,News 13
3784,Bally Sports Arizona+,TV,,en,away,BSAZ+
3804,94.5 ESPN Milwaukee,FM,,en,home,WLWK94.5
3824,WLKX-FM,FM,,es,,WLKX-FM
3844,TWC 960,TV,,es,home,TWC 960
3864,SNET,TV,,en,home,SNET
3884,WIND 560,AM,,en,away,WIND 560
3924,SN-1,TV,,en,home,SNO
3964,WNNX 100.5,FM,,en,away,WNNX100.5
3984,103.3 ESPN ,FM,,en,home,103.3ESPN
3985,1540am ESPN Deportes,AM,,es,home,1540 AM
3986,KSKY 660,AM,,en,home,KSKY 660
4004,ROOT SPORTS,TV,,en,home,RSNW
4024,680 AM/93.7 FM The Fan,AM,,en,away,680 AM
4025,ESPN Deportes 710,AM,,es,away,ESPN 710
4026,FSN/ROOT Sports,TV,,en,home,FSN/ROOT
4044,106.7 The Fan,FM,,en,away,106.7
4064,ESPN 970,AM,,en,home,ESPN 970
4084,Bally Sports Southwest+,TV,,en,home,BSSW+
4085,TWC 858,TV,,es,home,TWC 858
4105,CHML 900,AM,,en,away,CHML 900
4124,ESPN 1700,AM,,en,home,ESPN1700
4164,95.7 FM The Game,FM,,en,home,95.7 FM 
4165,47 Uniradio TV,TV,,es,away,47 Uni.
