player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
113726,Dennis Eckersley,P,Oakland Athletics,133,2004-11-01,MLBHOF,Hall Of Fame,-,421
119236,Paul Molitor,DH,Milwaukee Brewers,158,2004-11-01,MLBHOF,Hall Of Fame,-,431
119579,Eddie Murray,1B,Baltimore Orioles,110,2003-11-01,MLBHOF,Hall Of Fame,-,423
112061,Gary Carter,C,Montreal Expos,120,2003-11-01,MLBHOF,Hall Of Fame,-,387
122439,Ozzie Smith,SS,St. Louis Cardinals,138,2002-11-01,MLBHOF,Hall Of Fame,-,433
118497,Bill Mazeroski,2B,Pittsburgh Pirates,134,2001-11-01,MLBHOF,Hall Of Fame,-,-
124448,Dave Winfield,OF,San Diego Padres,135,2001-11-01,MLBHOF,Hall Of Fame,-,435
120790,Kirby Puckett,OF,Minnesota Twins,142,2001-11-01,MLBHOF,Hall Of Fame,-,423
118860,Bid McPhee,2B,Cincinnati Reds,113,2000-11-01,MLBHOF,Hall Of Fame,-,-
114182,Carlton Fisk,C,Boston Red Sox,111,2000-11-01,MLBHOF,Hall Of Fame,-,397
110238,Sparky Anderson,X,Cincinnati Reds,113,2000-11-01,MLBHOF,Hall Of Fame,-,-
120404,Tony Perez,1B,Cincinnati Reds,113,2000-11-01,MLBHOF,Hall Of Fame,-,385
492582,Frank Selee,X,Atlanta Braves,144,1999-11-01,MLBHOF,Hall Of Fame,-,-
111437,George Brett,3B,Kansas City Royals,118,1999-11-01,MLBHOF,Hall Of Fame,-,488
427061,Nestor Chylak,X,No team,14,1999-11-01,MLBHOF,Hall Of Fame,-,-
121597,Nolan Ryan,P,Texas Rangers,140,1999-11-01,MLBHOF,Hall Of Fame,-,491
112157,Orlando Cepeda,1B,San Francisco Giants,137,1999-11-01,MLBHOF,Hall Of Fame,-,-
124721,Robin Yount,SS,Milwaukee Brewers,158,1999-11-01,MLBHOF,Hall Of Fame,-,385
123006,Don Sutton,P,Los Angeles Dodgers,119,1998-11-01,MLBHOF,Hall Of Fame,-,386
113106,George Davis,SS,San Francisco Giants,137,1998-11-01,MLBHOF,Hall Of Fame,-,-
113411,Larry Doby,OF,Cleveland Indians,114,1998-11-01,MLBHOF,Hall Of Fame,-,-
492578,Lee MacPhail,X,No team,14,1998-11-01,MLBHOF,Hall Of Fame,-,-
114361,Nellie Fox,2B,Chicago White Sox,145,1997-11-01,MLBHOF,Hall Of Fame,-,-
119786,Phil Niekro,P,Atlanta Braves,144,1997-11-01,MLBHOF,Hall Of Fame,-,380
117524,Tommy Lasorda,X,Los Angeles Dodgers,119,1997-11-01,MLBHOF,Hall Of Fame,-,-
492586,Earl Weaver,X,Baltimore Orioles,110,1996-11-01,MLBHOF,Hall Of Fame,-,-
111691,Jim Bunning,P,Philadelphia Phillies,143,1996-11-01,MLBHOF,Hall Of Fame,-,-
115424,Ned Hanlon,X,-,166,1996-11-01,MLBHOF,Hall Of Fame,-,-
121836,Mike Schmidt,3B,Philadelphia Phillies,143,1995-11-01,MLBHOF,Hall Of Fame,-,444
110349,Richie Ashburn,OF,Philadelphia Phillies,143,1995-11-01,MLBHOF,Hall Of Fame,-,-
124364,Vic Willis,P,Atlanta Braves,144,1995-11-01,MLBHOF,Hall Of Fame,-,-
492572,William Hulbert,X,No team,14,1995-11-01,MLBHOF,Hall Of Fame,-,-
113664,Leo Durocher,X,Los Angeles Dodgers,119,1994-11-01,MLBHOF,Hall Of Fame,-,-
121257,Phil Rizzuto,SS,New York Yankees,147,1994-11-01,MLBHOF,Hall Of Fame,-,-
112008,Steve Carlton,P,Philadelphia Phillies,143,1994-11-01,MLBHOF,Hall Of Fame,-,436
116439,Reggie Jackson,OF,New York Yankees,147,1993-11-01,MLBHOF,Hall Of Fame,-,396
427329,Bill McGowan,X,No team,14,1992-11-01,MLBHOF,Hall Of Fame,-,-
119739,Hal Newhouser,P,Detroit Tigers,116,1992-11-01,MLBHOF,Hall Of Fame,-,-
114129,Rollie Fingers,P,Oakland Athletics,133,1992-11-01,MLBHOF,Hall Of Fame,-,349
121961,Tom Seaver,P,New York Mets,121,1992-11-01,MLBHOF,Hall Of Fame,-,425
492585,Bill Veeck,X,No team,14,1991-11-01,MLBHOF,Hall Of Fame,-,-
116522,Fergie Jenkins,P,Chicago Cubs,112,1991-11-01,MLBHOF,Hall Of Fame,-,334
